"","Asellus_aquaticus","Daphnia_magna","Dikerogammarus_villosus","Homo_sapiens","Hymenoptera","Osmia_bicornis","Philodina_roseola"
"DvD0.2",0,0,1,0,0,0,0
"DvD12.1",0,0,1,0,0,0,0
"DvD8.1",0,0,0.999828184598467,0,0,0,0
"DvD4.1",0,0,0.999969868173258,0,0,0,0
"DvD0.1",0,0,1,0,0,0,0
"DvD8C",0,0,0.999897127808411,0,0,0,0
"DvD4C",0,0,1,0,0,0,0
"DvD0C",0,0,1,0,0,0,0
"DvD8.3",0,0,1,0,0,0,0
"DvD4.3",0,0,1,0,0,0,0
"DvD0.3",0,0,1,0,0,0,0
"DvD36.2",0,0,1,0,0,0,0
"DvD24.2",0,0,1,0,0,0,0
"DvD12.2",0,0,1,0,0,0,0
"DvD8.2",0,0,1,0,0,0,0
"DvD4.2",0,0.00232688412978843,0.997673115870212,0,0,0,0
"DvD24.4",0,0,1,0,0,0,0
"DvD12.4",0,0,1,0,0,0,0
"DvD8.4",0,0,1,0,0,0,0
"DvD4.4",0,0,0.999943091281584,0,0,0,0
"DvD0.4",0,0,0.999769278096801,0,0,0,0
"DvD36.3",0,0,1,0,0,0,0
"DvD24.3",0,0,1,0,0,0,0
"DvD12.3",0,0,1,0,0,0,0
"DvA0C",0,0,1,0,0,0,0
"DvD36.5",0,0,1,0,0,0,0
"DvD24.5",0,0,1,0,0,0,0
"DvD12.5",0,0,1,0,0,0,0
"DvD8.5",0,0,1,0,0,0,0
"DvD4.5",0,0,1,0,0,0,0
"DvD36.4",0,0,1,0,0,0,0
"DvA8.1",0,0,1,0,0,0,0
"DvA4.1",0.025843678964854,0,0.974156321035146,0,0,0,0
"DvA0.1",0.00353724511027882,0,0.996462754889721,0,0,0,0
"DvA36C",0,0,1,0,0,0,0
"DvA24C",0,0,1,0,0,0,0
"DvA12C",0,0,0.999840624750976,0,0,0,0
"DvA8C",0,0,1,0,0,0,0
"DvA4C",0,0,1,0,0,0,0
"DvA24.2",0.0257247856267864,0,0.974275214373214,0,0,0,0
"DvA12.2",0.201736375901918,0,0.798263624098082,0,0,0,0
"DvA8.2",0.195082662144977,0,0.804917337855023,0,0,0,0
"DvA4.2",0.0969383665945339,0,0.903061633405466,0,0,0,0
"DvA0.2",0.00144056887145222,0,0.998559431128548,0,0,0,0
"DvA36.1",0.401752136752137,0,0.598247863247863,0,0,0,0
"DvA24.1",0.00549903766840803,0,0.994500962331592,0,0,0,0
"DvA12.1",0.0289568937150378,0,0.971043106284962,0,0,0,0
"DvA36.4",0.00211213517665131,0,0.997887864823349,0,0,0,0
"DvA24.4",0.270431260424112,0,0.729568739575888,0,0,0,0
"DvA12.4",0.00232235831741394,0,0.997677641682586,0,0,0,0
"DvA8.4",0.0503988397389413,0,0.949601160261059,0,0,0,0
"DvA4.4",0.24095868871206,0,0.75904131128794,0,0,0,0
"DvA0.4",0.0218801075552275,0,0.978119892444772,0,0,0,0
"DvA36.2",0,0,0.999078341013825,0,0,0,0
"DvD0.2.1",0,0,1,0,0,0,0
"DvD12.1.1",0,0,1,0,0,0,0
"DvD8.1.1",0,0,0.999527562970883,0,0,0,0
"DvD4.1.1",0,0,0.999950118468637,0,0,0,0
"DvD0.1.1",0,0,1,0,0,0,0
"DvD8C.1",0,0,1,0,0,0,0
"DvD4C.1",0,0,1,0,0,0,0
"DvD0C.1",0,0,1,0,0,0,0
"DvD8.3.1",0,0,1,0,0,0,0
"DvD4.3.1",0,0,1,0,0,0,0
"DvD0.3.1",0,0,0.999921811879382,0,0,0,0
"DvD36.2.1",0,0,1,0,0,0,0
"DvD24.2.1",0,0,1,0,0,0,0
"DvD12.2.1",0,0,1,0,0,0,0
"DvD8.2.1",0,0,1,0,0,0,0
"DvD4.2.1",0,0.00494473531122746,0.995055264688773,0,0,0,0
"DvD24.4.1",0,0,1,0,0,0,0
"DvD12.4.1",0,0,1,0,0,0,0
"DvD8.4.1",0,0,0.999951198086965,0,0,0,0
"DvD4.4.1",0,0,0.999920691569514,0,0,0,0
"DvD0.4.1",0,0,0.999740209131649,0,0,0,0
"DvD36.3.1",0,0,1,0,0,0,0
"DvD24.3.1",0,0,1,0,0,0,0
"DvD12.3.1",0,0,1,0,0,0,0
"DvA0C.1",0,0,1,0,0,0,0
"DvD36.5.1",0,0,1,0,0,0,0
"DvD24.5.1",0,0,1,0,0,0,0
"DvD12.5.1",0,0,1,0,0,0,0
"DvD8.5.1",0,0,1,0,0,0,0
"DvD4.5.1",0,0,1,0,0,0,0
"DvD36.4.1",0,0,1,0,0,0,0
"DvA8.1.1",0,0,1,0,0,0,0
"DvA4.1.1",0.0418368473341428,0,0.958163152665857,0,0,0,0
"DvA0.1.1",0.0111196093428252,0,0.988880390657175,0,0,0,0
"DvA36C.1",0,0,1,0,0,0,0
"DvA24C.1",0,0,0.999931466949937,0,0,0,0
"DvA12C.1",0,0,0.99963749352667,0,0,0,0
"DvA8C.1",0,0,1,0,0,0,0
"DvA4C.1",0,0,1,0,0,0,0
"DvA24.2.1",0.00444247001332741,0,0.995557529986673,0,0,0,0
"DvA12.2.1",0.29208156779661,0,0.70791843220339,0,0,0,0
"DvA8.2.1",0.302174421323357,0,0.697825578676643,0,0,0,0
"DvA4.2.1",0.136316597080969,0,0.863683402919031,0,0,0,0
"DvA0.2.1",0.00237349283205165,0,0.997626507167948,0,0,0,0
"DvA36.1.1",0.35121508520722,0,0.64878491479278,0,0,0,0
"DvA24.1.1",0.0051656031601337,0,0.994834396839866,0,0,0,0
"DvA36.4.1",0.00308011890691594,0,0.99684825042083,0,0,0,0
"DvA24.4.1",0.240094806848734,0,0.759905193151266,0,0,0,0
"DvA12.4.1",0.00214951038930021,0,0.9978504896107,0,0,0,0
"DvA8.4.1",0.0817547937245787,0,0.918245206275421,0,0,0,0
"DvA4.4.1",0.241051314142678,0,0.758948685857322,0,0,0,0
"DvA0.4.1",0.0184586986617443,0,0.981541301338256,0,0,0,0
"DvD0.2.2",0,0,1,0,0,0,0
"DvD12.1.2",0,0,0.999955884947944,0,0,0,0
"DvD8.1.2",0,0,0.999537663881642,0,0,0,0
"DvD4.1.2",0,0,1,0,0,0,0
"DvD0.1.2",0,0,1,0,0,0,0
"DvD8C.2",0,0,1,0,0,0,0
"DvD4C.2",0,0,1,0,0,0,0
"DvD0C.2",0,0,1,0,0,0,0
"DvD8.3.2",0,0,1,0,0,0,0
"DvD4.3.2",0,0,1,0,0,0,0
"DvD0.3.2",0,0,0.999846475067551,0,0,0,0
"DvD36.2.2",0,0,1,0,0,0,0
"DvD24.2.2",0,0,1,0,0,0,0
"DvD12.2.2",0,0,1,0,0,0,0
"DvD8.2.2",0,0,1,0,0,0,0
"DvD4.2.2",0,0.00329308452250274,0.996706915477497,0,0,0,0
"DvD24.4.2",0,0,1,0,0,0,0
"DvD12.4.2",0,0,1,0,0,0,0
"DvD8.4.2",0,0,0.999831748969462,0,0,0,0
"DvD4.4.2",0,0,0.999904326819584,0,0,0,0
"DvD0.4.2",0,0,0.999755989352263,0,0,0,0
"DvD36.3.2",0,0,1,0,0,0,0
"DvD24.3.2",0,0,1,0,0,0,0
"DvD12.3.2",0,0,0.999921107648613,0,0,0,0
"DvA0C.2",0,0,1,0,0,0,0
"DvD36.5.2",0,0,1,0,0,0,0
"DvD24.5.2",0,0,1,0,0,0,0
"DvD12.5.2",0,0,1,0,0,0,0
"DvD8.5.2",0,0,0.999927662037037,0,0,0,0
"DvD4.5.2",0,0,1,0,0,0,0
"DvD36.4.2",0,0,1,0,0,0,0
"DvA8.1.2",0,0,1,0,0,0,0
"DvA4.1.2",0.0125098856855274,0,0.987490114314473,0,0,0,0
"DvA0.1.2",0.0146286185227156,0,0.985371381477284,0,0,0,0
"DvA36C.2",0,0,1,0,0,0,0
"DvA24C.2",0,0,1,0,0,0,0
"DvA12C.2",0,0,0.99994617868676,0,0,0,0
"DvA8C.2",0,0,1,0,0,0,0
"DvA4C.2",0,0,1,0,0,0,0
"DvA24.2.2",0.00342465753424658,0,0.996575342465753,0,0,0,0
"DvA12.2.2",0.257381778109098,0,0.742618221890902,0,0,0,0
"DvA8.2.2",0.329458679789581,0,0.670541320210419,0,0,0,0
"DvA4.2.2",0.124946898895497,0,0.875053101104503,0,0,0,0
"DvA0.2.2",0.00237650653539297,0,0.997623493464607,0,0,0,0
"DvA36.1.2",0.423461132606402,0,0.576538867393598,0,0,0,0
"DvA24.1.2",0.00792271874348461,0,0.992077281256515,0,0,0,0
"DvA12.1.2",0.415296597410419,0,0.584703402589581,0,0,0,0
"DvA36.4.2",0.00187360380485696,0,0.998126396195143,0,0,0,0
"DvA24.4.2",0.248667079975201,0,0.751332920024799,0,0,0,0
"DvA12.4.2",0.00316828098126188,0,0.996831719018738,0,0,0,0
"DvA8.4.2",0,0,0.998849913743531,0,0,0,0
"DvA4.4.2",0.201788638367553,0,0.798127388000168,0,0,0,0
"DvA0.4.2",0.0127784493179071,0,0.987221550682093,0,0,0,0
"DvA36.2.2",0.00820379965457686,0,0.991796200345423,0,0,0,0
"DvD0.2.3",0,0,1,0,0,0,0
"DvD12.1.3",0,0,1,0,0,0,0
"DvD8.1.3",0,0,0.999740652690728,0,0,0,0
"DvD4.1.3",0,0,1,0,0,0,0
"DvD0.1.3",0,0,1,0,0,0,0
"DvD8C.3",0,0,1,0,0,0,0
"DvD4C.3",0,0,1,0,0,0,0
"DvD0C.3",0,0,1,0,0,0,0
"DvD8.3.3",0,0,1,0,0,0,0
"DvD4.3.3",0,0,1,0,0,0,0
"DvD0.3.3",0,0,1,0,0,0,0
"DvD36.2.3",0,0,1,0,0,0,0
"DvD24.2.3",0,0,1,0,0,0,0
"DvD12.2.3",0,0,1,0,0,0,0
"DvD8.2.3",0,0,1,0,0,0,0
"DvD4.2.3",0,0.00666361795257072,0.993336382047429,0,0,0,0
"DvD24.4.3",0,0,1,0,0,0,0
"DvD12.4.3",0,0,1,0,0,0,0
"DvD8.4.3",0,0,1,0,0,0,0
"DvD4.4.3",0,0,1,0,0,0,0
"DvD0.4.3",0,0,0.99972602739726,0,0,0,0
"DvD36.3.3",0,0,1,0,0,0,0
"DvD24.3.3",0,0,1,0,0,0,0
"DvD12.3.3",0,0,1,0,0,0,0
"DvA0C.3",0,0,1,0,0,0,0
"DvD36.5.3",0,0,1,0,0,0,0
"DvD24.5.3",0,0,1,0,0,0,0
"DvD12.5.3",0,0,1,0,0,0,0
"DvD8.5.3",0,0,1,0,0,0,0
"DvD4.5.3",0,0,1,0,0,0,0
"DvD36.4.3",0,0,1,0,0,0,0
"DvA8.1.3",0,0,1,0,0,0,0
"DvA4.1.3",0.00839429188152057,0,0.991605708118479,0,0,0,0
"DvA0.1.3",0.00441302660074368,0,0.995586973399256,0,0,0,0
"DvA36C.3",0,0,1,0,0,0,0
"DvA24C.3",0,0,1,0,0,0,0
"DvA12C.3",0,0,1,0,0,0,0
"DvA8C.3",0,0,1,0,0,0,0
"DvA4C.3",0,0,1,0,0,0,0
"DvA24.2.3",0.0241022022505292,0,0.975897797749471,0,0,0,0
"DvA12.2.3",0.239620167666574,0,0.760379832333426,0,0,0,0
"DvA8.2.3",0.247683933527991,0,0.752316066472009,0,0,0,0
"DvA4.2.3",0.1735278791037,0,0.8264721208963,0,0,0,0
"DvA0.2.3",0.00258388529005022,0,0.99741611470995,0,0,0,0
"DvA36.1.3",0.389470345702506,0,0.610529654297494,0,0,0,0
"DvA24.1.3",0.00626191124421454,0,0.993738088755786,0,0,0,0
"DvA12.1.3",0.00454545454545455,0,0.995454545454545,0,0,0,0
"DvA36.4.3",0.00254443543034147,0,0.997455564569659,0,0,0,0
"DvA24.4.3",0.21494746895893,0,0.78505253104107,0,0,0,0
"DvA12.4.3",0.00384210952034296,0,0.996077003963439,0,0,0,0
"DvA8.4.3",0.107546481954065,0,0.892453518045935,0,0,0,0
"DvA4.4.3",0.258938547486034,0,0.741061452513966,0,0,0,0
"DvA0.4.3",0.0287985947395183,0,0.971201405260482,0,0,0,0
"DvA36.2.3",0.00165425971877585,0,0.997518610421836,0,0,0,0
